t,MV,PV
2.470000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.480000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.490000000000000000e+02,1.000000000000000000e+00,3.310000000000000719e-01
2.500000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.510000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.520000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.530000000000000000e+02,1.000000000000000000e+00,3.327500000000000457e-01
2.540000000000000000e+02,1.000000000000000000e+00,3.302500000000000435e-01
2.550000000000000000e+02,1.000000000000000000e+00,3.327500000000000457e-01
2.560000000000000000e+02,0.000000000000000000e+00,3.302500000000000435e-01
2.570000000000000000e+02,0.000000000000000000e+00,3.310000000000000719e-01
2.580000000000000000e+02,0.000000000000000000e+00,3.327500000000000457e-01
2.590000000000000000e+02,0.000000000000000000e+00,3.317499999999998783e-01
2.600000000000000000e+02,0.000000000000000000e+00,3.334999999999999076e-01
2.610000000000000000e+02,0.000000000000000000e+00,3.334999999999999076e-01
2.620000000000000000e+02,0.000000000000000000e+00,3.317499999999998783e-01
2.630000000000000000e+02,0.000000000000000000e+00,3.310000000000000719e-01
2.640000000000000000e+02,0.000000000000000000e+00,3.302500000000000435e-01
2.650000000000000000e+02,0.000000000000000000e+00,3.302500000000000435e-01
2.660000000000000000e+02,0.000000000000000000e+00,3.302500000000000435e-01
2.670000000000000000e+02,0.000000000000000000e+00,3.254999999999999005e-01
2.680000000000000000e+02,0.000000000000000000e+00,3.222500000000000364e-01
2.690000000000000000e+02,0.000000000000000000e+00,3.215000000000000080e-01
2.700000000000000000e+02,0.000000000000000000e+00,3.215000000000000080e-01
2.710000000000000000e+02,0.000000000000000000e+00,3.150000000000000577e-01
2.720000000000000000e+02,0.000000000000000000e+00,3.142500000000000293e-01
2.730000000000000000e+02,0.000000000000000000e+00,3.142500000000000293e-01
2.740000000000000000e+02,0.000000000000000000e+00,3.099999999999999423e-01
2.750000000000000000e+02,0.000000000000000000e+00,3.070000000000000506e-01
2.760000000000000000e+02,0.000000000000000000e+00,3.060000000000000497e-01
